_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00698547 -24.805 -21.209 -0.279 0.000 -27.874
ZINC00702624 -24.443 -21.020 -0.064 0.000 -32.685
ZINC00703647 -18.154 -13.553 -1.231 0.000 -20.354
ZINC00704218 -16.088 -11.962 -0.893 0.000 -30.180
ZINC00706294 -19.582 -19.479 3.263 0.000 -25.578
ZINC00718343 -29.260 -25.034 -0.967 0.000 -27.336
ZINC00718344 -30.860 -29.648 -1.519 0.000 -29.178
ZINC00718867 -25.158 -19.639 -2.224 0.000 -31.183
ZINC00719219 -26.050 -16.677 -6.135 0.000 -26.357
ZINC00722294 -23.849 -19.724 -0.797 0.000 -27.965
ZINC00722295 -27.513 -22.059 -2.091 0.000 -30.775
ZINC00725610 -20.782 -19.758 2.290 0.000 -25.317
ZINC00725612 -16.470 -14.849 1.742 0.000 -24.658
ZINC00725787 -27.073 -22.298 -1.499 0.000 -30.591
ZINC00725788 -22.786 -17.921 -1.615 0.000 -27.540
ZINC00731328 -20.780 -15.589 -1.813 0.000 -28.084
ZINC00731330 -24.474 -18.215 -2.941 0.000 -24.702
ZINC00735578 -23.086 -15.530 -4.172 0.000 -24.705
ZINC00735580 -20.845 -16.171 -1.375 0.000 -24.428
ZINC00736654 -23.383 -21.940 1.726 0.000 -27.145
ZINC00736655 -23.395 -21.322 -2.339 0.000 -31.646
ZINC00736661 -20.387 -17.991 0.963 0.000 -29.057
ZINC00736663 -17.735 -16.027 0.278 0.000 -26.820
ZINC00736835 -20.632 -24.010 6.721 0.000 -30.841
ZINC00738966 -28.274 -13.910 -11.013 0.000 -26.121
ZINC00743744 -30.496 -20.051 -7.145 0.000 -31.220
ZINC00743961 -19.387 -19.983 3.901 0.000 -29.836
ZINC00746858 -22.838 -14.805 -4.763 0.000 -25.482
ZINC00747802 -29.306 -27.631 1.627 0.004 -32.588
ZINC00747803 -20.917 -22.751 5.071 0.000 -31.174
ZINC00747813 -18.180 -14.349 -0.440 0.000 -27.749
ZINC00752171 -25.966 -23.835 1.147 0.000 -33.014
ZINC00756296 -14.025 -14.896 0.582 0.000 -25.429
ZINC00760093 -16.830 -16.284 2.772 0.000 -23.543
ZINC00762246 -21.182 -18.613 0.691 0.000 -26.644
ZINC00762422 -21.972 -19.838 1.092 0.000 -25.447
ZINC00764069 -24.055 -20.983 0.222 0.000 -26.644
ZINC00764216 -27.709 -21.200 -3.125 0.000 -30.007
ZINC00764228 -22.780 -19.301 -0.176 0.000 -26.610
ZINC00764465 -26.438 -25.679 2.644 0.000 -29.824
ZINC00764466 -22.018 -20.477 1.705 0.000 -30.577
ZINC00764511 -22.051 -19.347 0.530 0.000 -27.167
ZINC00764536 -22.904 -19.097 -0.433 0.000 -23.371
ZINC00764858 -26.640 -19.785 -3.588 0.000 -26.120
ZINC00774052 -23.242 -14.497 -5.345 0.000 -26.946
ZINC00774079 -19.527 -13.008 -3.246 0.000 -23.008
ZINC00774090 -22.322 -19.254 -3.383 0.000 -25.521
ZINC00776376 -27.106 -20.483 -3.337 0.000 -29.453
ZINC00776388 -21.441 -12.639 -5.561 0.000 -22.438
ZINC00776392 -26.071 -18.947 -3.916 0.000 -31.513
ZINC00776402 -17.623 -12.327 -3.344 0.000 -24.881
ZINC00776406 -19.871 -13.802 -2.736 0.000 -27.057
ZINC00776409 -22.389 -20.654 1.478 0.000 -27.701
ZINC00776421 -21.879 -14.307 -4.210 0.000 -25.827
ZINC00776425 -23.551 -15.154 -4.990 0.000 -25.169
ZINC00776429 -18.703 -16.107 0.824 0.000 -27.780
ZINC00776443 -19.835 -17.188 -0.678 0.000 -27.135
ZINC00776446 -28.084 -21.219 -3.613 0.000 -29.476
ZINC00776475 -23.397 -17.652 -2.371 0.000 -26.670
ZINC00776479 -29.260 -20.168 -5.814 0.000 -29.602
ZINC00776481 -21.179 -12.524 -5.300 0.000 -27.945
ZINC00786275 -20.144 -16.073 -0.735 0.000 -28.362
ZINC00786743 -18.318 -16.069 1.138 0.000 -25.566
ZINC00786927 -24.605 -17.030 -4.269 0.000 -26.581
ZINC00787688 -24.421 -22.052 0.830 0.000 -31.068
ZINC00799076 -21.268 -18.189 0.290 0.000 -28.218
ZINC00799978 -22.964 -12.839 -6.842 0.000 -25.079
ZINC00800237 -24.697 -15.719 -5.685 0.000 -27.264
ZINC00809212 -23.134 -19.914 -0.004 0.011 -28.126
ZINC00812995 -24.628 -18.188 -3.112 0.000 -28.467
ZINC00826906 -24.534 -22.865 0.275 0.000 -31.450
ZINC00830719 -21.884 -17.189 -1.385 0.000 -26.742
ZINC00831060 -10.231 -9.201 2.307 0.000 -22.816
ZINC00843834 -20.736 -16.799 -0.604 0.000 -30.536
ZINC00843836 -16.388 -15.015 0.599 0.000 -25.539
ZINC00844045 -20.582 -15.986 -1.281 0.000 -30.386
ZINC00846625 -17.174 -18.183 0.672 0.000 -26.445
ZINC00846684 -19.401 -14.386 -1.736 0.000 -26.613
ZINC00849513 -27.743 -21.065 -3.405 0.000 -28.096
ZINC00849514 -21.774 -14.530 -3.992 0.000 -25.460
ZINC00849515 -22.920 -16.681 -2.857 0.000 -28.573
ZINC00849516 -24.736 -17.916 -3.592 0.003 -26.358
ZINC00850069 -22.218 -24.689 1.990 0.000 -33.151
ZINC00850070 -20.634 -20.173 -0.744 0.000 -30.213
ZINC00851469 -32.857 -29.994 -0.012 0.152 -29.908
ZINC00853141 -22.721 -15.373 -4.052 0.000 -23.137
ZINC00856433 -25.864 -23.820 1.263 0.000 -30.239
ZINC00860105 -27.726 -20.970 -3.368 0.000 -30.457
ZINC00863810 -21.103 -19.202 1.075 0.000 -25.020
ZINC00863811 -17.141 -17.774 0.229 0.000 -23.639
ZINC00863861 -23.242 -20.515 0.543 0.000 -27.156
ZINC00863862 -25.099 -25.515 2.348 0.000 -27.207
ZINC00863883 -26.748 -25.136 1.663 0.000 -30.465
ZINC00863884 -19.843 -17.876 1.279 0.000 -28.846
ZINC00864982 -18.751 -19.672 0.583 0.000 -25.253
ZINC00865555 -24.059 -19.280 -1.393 0.000 -25.741
ZINC00865556 -15.821 -15.637 3.025 0.000 -23.015
ZINC00865558 -15.546 -13.601 1.099 0.000 -20.747
ZINC00868821 -16.657 -15.199 1.869 0.000 -26.297
ZINC00868996 -24.955 -18.227 -3.409 0.000 -26.714
ZINC00868997 -21.195 -17.857 -0.121 0.000 -30.145
ZINC00870504 -21.664 -14.056 -4.275 0.000 -26.078
ZINC00873253 -27.367 -19.906 -4.107 0.000 -29.114
ZINC00874425 -21.777 -23.495 1.301 0.000 -31.306
ZINC00875411 -19.389 -16.133 0.119 0.000 -27.715
ZINC00877699 -23.676 -17.714 -2.557 0.000 -27.780
ZINC00877701 -24.484 -23.256 2.019 0.000 -32.692
ZINC00877703 -13.835 -14.187 3.620 0.000 -28.035
ZINC00877796 -18.415 -14.955 -0.211 0.000 -26.012
ZINC00879345 -21.252 -18.647 0.646 0.000 -27.654
ZINC00881429 -18.675 -13.352 -2.054 0.000 -28.212
ZINC00881713 -22.741 -19.053 -0.385 0.000 -29.728
ZINC00881717 -25.497 -21.680 -0.651 0.042 -33.195
ZINC00881719 -23.667 -17.474 -4.258 0.000 -25.827
ZINC00881729 -24.977 -18.714 -3.007 0.000 -27.253
ZINC00882544 -19.840 -14.354 -2.145 0.000 -27.453
ZINC00887834 -24.835 -21.085 -0.470 0.000 -28.175
ZINC00887873 -18.055 -13.314 -1.386 0.000 -27.817
ZINC00888853 -26.022 -21.808 -0.849 0.000 -26.430
ZINC00890200 -18.554 -10.716 -4.730 0.000 -23.418
ZINC00898713 -21.657 -21.856 3.454 0.000 -28.789
ZINC00898720 -21.541 -18.608 0.148 0.000 -28.495
ZINC00898728 -21.075 -19.189 1.428 0.000 -29.217
ZINC00898735 -18.730 -19.179 3.706 0.000 -28.523
ZINC00899506 -23.694 -20.482 -3.631 0.000 -30.324
ZINC00905104 -16.977 -16.346 2.524 0.000 -26.849
ZINC00905637 -20.135 -17.958 -0.314 0.000 -24.703
ZINC00905769 -27.745 -25.822 1.362 0.000 -35.084
ZINC00906268 -23.154 -20.359 0.491 0.000 -27.941
ZINC00906270 -22.949 -19.113 -0.479 0.000 -27.361
ZINC00906273 -22.346 -18.270 -0.699 0.000 -29.347
ZINC00906274 -27.174 -23.072 -0.713 0.000 -27.059
ZINC00906745 -21.752 -16.169 -2.218 0.000 -28.817
ZINC00907192 -24.511 -20.657 -0.563 0.000 -29.279
ZINC00907204 -19.631 -15.709 -0.619 0.000 -28.535
ZINC00907222 -23.198 -19.910 -3.733 0.000 -28.644
ZINC00907372 -22.120 -17.534 -1.167 0.000 -26.695
ZINC00907376 -22.086 -13.270 -5.653 0.000 -24.198
ZINC00907706 -20.279 -16.811 -0.559 0.000 -25.598
ZINC00908237 -22.461 -17.597 -1.455 0.000 -28.141
ZINC00911889 -18.353 -26.040 7.332 0.000 -27.348
ZINC00912438 -29.715 -22.017 -4.343 0.000 -24.053
ZINC00913669 -22.723 -17.373 -2.237 0.000 -27.105
ZINC00914250 -18.802 -18.836 3.411 0.000 -26.256
ZINC00915795 -19.773 -23.512 -0.475 0.025 -31.547
ZINC00915898 -22.396 -16.808 -2.384 0.000 -25.771
ZINC00916152 -14.569 -14.676 3.366 0.000 -25.722
ZINC00918434 -25.581 -22.397 -3.511 0.000 -29.795
ZINC00918463 -19.450 -17.526 1.324 0.037 -27.235
ZINC00918635 -23.170 -21.644 1.549 0.000 -30.895
ZINC00918646 -17.235 -16.719 2.759 0.000 -27.010
ZINC00918649 -19.226 -17.190 1.156 0.000 -30.190
ZINC00918652 -22.459 -17.427 -1.813 0.000 -27.943
ZINC00918893 -26.379 -21.469 -1.676 0.000 -28.512
ZINC00919135 -21.237 -17.063 -0.805 0.000 -22.856
ZINC00923589 -20.244 -14.431 -2.483 0.000 -22.162
ZINC00923594 -26.217 -23.858 0.910 0.000 -29.501
ZINC00924626 -28.888 -24.886 -0.920 0.000 -33.089
ZINC00924631 -22.129 -19.899 1.156 0.000 -31.088
ZINC00925239 -22.161 -17.035 -1.850 0.000 -26.907
ZINC00925245 -18.756 -15.294 -0.179 0.000 -28.809
ZINC00925362 -24.373 -19.945 -2.528 0.000 -28.613
ZINC00925364 -18.770 -16.601 1.177 0.000 -27.076
ZINC00925375 -19.750 -10.745 -5.738 0.000 -23.694
ZINC00925392 -18.131 -12.057 -2.752 0.000 -21.947
ZINC00925394 -22.142 -17.256 -1.744 0.000 -28.001
ZINC00925395 -20.559 -15.577 -1.701 0.000 -28.870
ZINC00925404 -21.113 -19.307 1.566 0.000 -27.584
ZINC00925406 -19.362 -18.221 2.135 0.000 -27.590
ZINC00925407 -22.452 -17.964 -1.305 0.000 -25.167
ZINC00925443 -27.362 -23.963 -0.023 0.000 -28.351
ZINC00925444 -24.307 -22.866 1.842 0.000 -32.638
ZINC00928714 -24.627 -19.873 -5.041 0.000 -27.851
ZINC00928796 -22.326 -17.770 -2.606 0.007 -24.817
ZINC00928798 -29.896 -23.394 -3.185 0.000 -28.241
ZINC00928813 -23.561 -20.274 0.006 0.000 -29.273
ZINC00928830 -24.469 -22.070 0.876 0.000 -27.147
ZINC00928846 -20.758 -19.094 1.668 0.000 -27.626
ZINC00929027 -25.342 -18.896 -3.106 0.000 -28.535
ZINC00929234 -21.995 -20.748 1.942 0.000 -26.180
ZINC00929235 -24.248 -20.744 -0.229 0.000 -27.441
ZINC00929358 -25.960 -20.231 -2.307 0.000 -27.341
ZINC00929384 -27.044 -17.323 -6.342 0.000 -29.884
ZINC00929955 -20.288 -20.047 3.078 0.000 -27.469
ZINC00929957 -24.479 -21.118 -0.059 0.000 -26.109
ZINC00930465 -20.896 -20.157 2.632 0.000 -28.935
ZINC00930466 -23.634 -14.375 -5.866 0.000 -25.924
ZINC00930564 -29.175 -25.704 -0.314 0.000 -36.293
ZINC00930583 -22.209 -21.455 2.542 0.000 -30.983
ZINC00932940 -19.213 -18.679 2.753 0.000 -29.599
ZINC00933050 -25.431 -23.783 1.663 0.000 -29.738
ZINC00933324 -21.666 -26.013 4.043 0.000 -29.795
ZINC00933464 -18.406 -15.973 0.941 0.000 -27.866
ZINC00933943 -16.527 -18.460 5.313 0.000 -25.445
ZINC00933999 -20.057 -19.416 2.497 0.000 -27.385
ZINC00934003 -19.722 -18.936 0.990 0.000 -30.105
ZINC00934006 -15.272 -15.880 0.282 0.000 -27.128
ZINC00934007 -19.286 -22.535 6.497 0.000 -32.277
ZINC00934021 -19.648 -15.597 -0.818 0.000 -29.014
ZINC00934023 -25.191 -21.208 -0.679 0.000 -29.886
ZINC00935686 -20.208 -20.599 3.676 0.000 -32.800
ZINC00937492 -21.244 -21.035 2.796 0.000 -29.225
ZINC00938628 -22.752 -19.414 -1.338 0.000 -29.739
ZINC00938868 -22.652 -22.122 2.775 0.000 -31.165
ZINC00942851 -19.254 -18.084 2.111 0.000 -28.958
ZINC00943705 -16.149 -22.453 4.526 0.000 -33.892
ZINC00944190 -23.671 -20.932 -0.745 0.000 -29.457
ZINC00958045 -20.959 -20.404 -0.854 0.000 -28.174
ZINC00961021 -16.936 -17.658 3.981 0.000 -25.386
ZINC00961460 -22.377 -22.077 -0.590 0.000 -26.234
ZINC00962181 -17.721 -17.113 2.677 0.000 -26.696
ZINC00965176 -24.657 -22.826 1.429 0.000 -31.908
ZINC00973709 -15.578 -19.032 3.115 0.000 -27.611
ZINC00983580 -22.257 -20.480 1.524 0.000 -29.711
ZINC00983584 -21.799 -19.532 -0.372 0.000 -29.160
ZINC00985545 -31.724 -29.302 0.754 0.000 -32.622
ZINC00989366 -25.629 -18.398 -3.898 0.000 -29.226
ZINC00989405 -17.117 -12.249 -1.555 0.000 -25.649
ZINC00989406 -18.988 -15.863 0.166 0.000 -22.800
ZINC00995045 -22.322 -22.909 3.695 0.270 -28.325
ZINC00995063 -28.579 -18.620 -6.546 0.000 -30.394
ZINC00995213 -32.287 -16.696 -12.221 0.000 -24.005
ZINC00996448 -25.080 -20.880 -0.919 0.000 -32.661
ZINC00998567 -19.888 -16.218 -0.274 0.000 -26.983
ZINC00998596 -15.624 -16.878 4.597 0.000 -22.503
ZINC01001407 -16.555 -12.491 -0.712 0.000 -23.762
ZINC01013950 -16.886 -16.876 3.182 0.000 -25.413
ZINC01020873 -23.092 -22.943 -0.536 0.000 -28.073
ZINC01022771 -18.002 -17.844 3.235 0.000 -29.386
ZINC01040007 -23.037 -23.335 3.561 0.000 -30.026
ZINC01040937 -19.847 -18.365 1.756 0.000 -26.763
ZINC01040942 -18.796 -18.075 -1.045 0.000 -27.425
ZINC01049819 -20.450 -16.332 -0.696 0.000 -24.647
ZINC01054057 -22.471 -16.062 -3.095 0.000 -29.462
ZINC01054059 -21.374 -16.698 -1.316 0.000 -25.146
ZINC01057945 -20.523 -14.008 -3.095 0.000 -22.905
ZINC01057971 -26.824 -20.999 -2.695 0.000 -33.656
ZINC01058141 -22.807 -22.946 3.352 0.000 -29.272
ZINC01058143 -23.472 -28.008 7.792 0.000 -31.482
ZINC01058145 -19.676 -20.579 4.191 0.000 -28.534
ZINC01058148 -21.366 -24.777 6.783 0.000 -30.092
ZINC01059336 -22.538 -18.869 -0.366 0.000 -25.756
ZINC01063031 -21.123 -18.019 0.140 0.000 -29.893
ZINC01064791 -26.575 -19.599 -3.684 0.000 -29.849
ZINC01070295 -13.151 -10.115 0.313 0.000 -24.515
ZINC01071242 -20.982 -18.958 1.240 0.000 -23.740
ZINC01073446 -26.892 -23.219 -0.252 0.000 -31.811
ZINC01075715 -22.143 -20.412 1.621 0.067 -26.852
ZINC01077958 -25.389 -19.453 -2.751 0.000 -25.384
ZINC01079564 -23.238 -19.315 -0.599 0.000 -27.883
ZINC01084120 -19.900 -13.567 -3.054 0.000 -24.895
ZINC01084391 -23.678 -17.849 -2.471 0.000 -30.317
ZINC01084393 -20.895 -15.474 -2.160 0.000 -24.280
ZINC01088121 -19.446 -22.741 2.736 0.007 -29.573
ZINC01088374 -23.773 -19.476 -0.992 0.000 -23.127
ZINC01088883 -29.445 -25.093 -1.067 0.000 -27.117
ZINC01090922 -23.521 -21.330 1.156 0.000 -29.503
ZINC01090925 -16.666 -16.333 2.979 0.000 -28.870
ZINC01090958 -16.648 -11.615 -1.751 0.000 -28.015
ZINC01090959 -20.971 -12.891 -4.809 0.000 -28.198
ZINC01092304 -24.290 -16.465 -4.600 0.000 -26.986
ZINC01093326 -25.554 -23.251 0.876 0.032 -28.305
ZINC01094281 -22.220 -19.057 0.143 0.000 -25.590
ZINC01094282 -21.819 -15.041 -3.433 0.000 -24.255
ZINC01094283 -23.121 -18.528 -1.318 0.000 -27.646
ZINC01094286 -21.386 -18.421 0.163 0.000 -25.472
ZINC01094289 -18.395 -12.344 -3.225 0.432 -24.206
ZINC01094297 -18.234 -11.428 -3.556 0.000 -25.828
ZINC01097882 -16.820 -15.260 1.660 0.000 -23.102
ZINC01097883 -18.326 -15.957 0.839 0.000 -23.368
ZINC01102646 -26.907 -21.123 -2.465 0.000 -24.422
ZINC01103996 -22.276 -18.163 -0.814 0.000 -27.946
ZINC01109311 -19.700 -17.822 1.518 0.000 -26.975
ZINC01109312 -20.454 -20.390 -0.381 0.000 -28.683
ZINC01110359 -22.541 -19.371 0.092 0.000 -28.455
ZINC01113505 -23.890 -22.730 -1.616 0.000 -28.377
ZINC01113997 -24.395 -22.133 -0.463 0.000 -26.481
ZINC01118377 -28.107 -24.068 -0.775 0.000 -28.684
ZINC01118658 -24.794 -18.953 -2.488 0.000 -26.827
ZINC01119056 -18.431 -16.101 -2.724 0.000 -27.101
ZINC01119063 -18.385 -20.598 5.476 0.000 -27.602
ZINC01119320 -24.736 -18.769 -2.712 0.000 -31.284
ZINC01119733 -20.317 -20.056 2.985 0.000 -27.201
ZINC01120211 -23.391 -21.380 1.280 0.000 -28.577
ZINC01121279 -21.734 -20.237 1.792 0.000 -27.415
ZINC01124839 -23.899 -18.370 -2.137 0.000 -24.016
ZINC01125534 -23.507 -22.738 2.588 0.000 -28.084
ZINC01128877 -24.674 -20.674 -0.762 0.000 -27.122
ZINC01130304 -20.633 -16.461 -0.923 0.000 -24.993
ZINC01130305 -25.048 -23.165 1.521 0.000 -30.439
ZINC01131683 -17.720 -18.593 0.531 0.000 -24.691
ZINC01131685 -24.703 -19.960 -1.510 0.000 -31.547
ZINC01132694 -14.374 -9.309 -1.806 0.000 -22.010
ZINC01134546 -24.256 -20.739 -0.270 0.000 -27.132
ZINC01134740 -24.061 -18.577 -2.225 0.000 -26.525
ZINC01138931 -24.643 -21.425 -3.476 0.000 -27.692
ZINC01139608 -22.427 -22.249 1.757 0.000 -30.236
ZINC01140010 -19.582 -14.515 -5.453 0.000 -25.581
ZINC01140012 -23.604 -18.925 -5.115 0.000 -28.714
ZINC01141400 -20.079 -19.202 1.079 0.000 -25.978
ZINC01141449 -13.487 -17.393 1.890 0.000 -27.828
ZINC01142012 -19.889 -16.320 -0.243 0.000 -27.384
ZINC01142106 -17.785 -18.629 4.120 0.000 -29.784
ZINC01143087 -23.816 -20.064 -0.446 0.000 -26.962
ZINC01143476 -21.894 -13.512 -5.093 0.000 -22.735
ZINC01143478 -17.839 -18.582 0.438 0.000 -23.707
ZINC01145016 -21.364 -16.166 -1.952 0.000 -30.566
ZINC01145195 -27.716 -18.314 -7.449 0.000 -26.656
ZINC01147908 -18.220 -17.535 1.223 0.000 -29.485
ZINC01148163 -21.477 -23.019 4.806 0.000 -29.527
ZINC01159095 -19.155 -14.726 -1.247 0.000 -24.117
ZINC01159097 -18.246 -14.791 -0.138 0.000 -26.512
ZINC01173878 -19.128 -17.779 1.902 0.000 -29.575
ZINC01174530 -31.245 -28.417 0.458 0.000 -30.709
ZINC01188088 -17.533 -17.100 2.978 0.000 -29.100
ZINC01188747 -22.128 -16.838 -2.051 0.000 -25.852
ZINC01191980 -14.672 -13.313 -1.699 0.000 -27.794
ZINC01197684 -17.397 -16.143 2.028 0.000 -21.243
ZINC01200064 -18.148 -20.675 5.790 0.000 -26.909
ZINC01200491 -23.669 -20.664 0.212 0.000 -29.199
ZINC01200944 -25.484 -25.032 -0.822 0.000 -27.113
ZINC01206103 -14.281 -17.111 2.494 0.000 -25.102
ZINC01208391 -19.072 -17.491 1.658 0.000 -27.848
ZINC01210283 -19.419 -11.733 -4.298 0.000 -27.134
ZINC01212864 -15.514 -13.720 1.597 0.000 -26.438
ZINC01215252 -22.604 -22.248 2.943 0.000 -28.311
ZINC01222264 -17.625 -12.942 -1.333 0.000 -25.556
ZINC01222356 -29.631 -24.086 -2.253 0.000 -28.134
ZINC01223709 -28.724 -17.191 -11.980 0.000 -26.497
ZINC01223723 -31.387 -21.878 -6.306 0.000 -32.051
ZINC01223764 -28.610 -20.029 -5.382 0.000 -30.188
